firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.12.15.152	172.10.0.3	155	1412	291326	172477
10.12.15.152	172.30.0.7	155	1424	112474	60974
10.12.15.152	172.20.0.15	156	7130	409010447	858849289
10.12.15.152	172.20.0.6	155	1401	1621056	314764
172.30.0.7	10.12.15.152	0	0	58	112
10.12.15.152	172.10.0.5	155	1401	1620282	315458
172.20.0.15	10.12.15.152	1006	19	2623954	301204
10.12.15.152	172.10.0.7	155	1401	1623837	313875
10.12.15.152	172.10.0.8	155	1401	1623824	314790
10.12.15.152	172.30.0.3	155	1412	107219	62552
10.12.15.152	172.10.0.9	155	1401	1625602	315534
10.12.15.152	172.20.0.2	0	0	705430	35292
172.30.0.6	10.12.15.152	0	0	58	112
10.12.15.152	172.10.0.40	11	11	95077	86727
10.12.15.152	172.20.0.3	155	1412	70483	43586
10.12.15.152	172.10.0.2	11	11	1436197	156055
10.12.15.152	172.30.0.6	155	1424	111466	60452
