firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.0.0.42	172.30.0.4	57	1509	300861076	629763599
10.15.7.85	172.30.0.4	57	1509	312409085	653922308
10.250.178.101	172.30.0.4	57	1509	256957666	538639615
172.30.0.4	10.138.235.111	1006	38	1415169	436731
10.57.105.222	172.30.0.4	372	61085	10950985	201941698
172.30.0.4	10.57.81.245	48665	197	67347	1691
172.30.0.4	10.57.84.113	12113	194	12715	626
10.156.165.120	172.30.0.4	57	1509	309037467	646067774
172.30.0.4	10.250.178.101	1006	38	2211211	594304
172.30.0.4	10.70.68.127	1006	57	2053282	588603
10.57.81.245	172.30.0.4	579	66605	9996880	183007930
10.57.84.113	172.30.0.4	1560	65225	11384185	210096599
172.30.0.4	10.15.7.85	1006	38	2321529	697155
10.13.77.49	172.30.0.4	1416	60720	276350389	737116433
10.156.165.212	172.30.0.4	394	78010	10094526	186055937
172.30.0.4	10.156.165.212	6318	0	6642	216
10.138.235.111	172.30.0.4	155	4480	272278264	569284068
10.200.20.2	172.30.0.4	57	2012	296917522	622229918
10.70.68.127	172.30.0.4	57	1509	285920209	598850706
172.30.0.4	10.200.20.2	1006	38	2547574	750465
172.30.0.4	10.0.0.42	1509	38	2339103	693361
10.0.3.178	172.30.0.4	394	48665	11112340	204785421
172.30.0.4	10.13.77.49	17633	197	1656783	467704
172.30.0.4	10.156.165.120	1006	38	1944744	535940
