parseddate	pcode	pcode	srcip	dstip	sport	dport	sfirst	dfirst	stotal	dtotal	spkts	dpkts
2015-09-10 12:32:00	6	TCP	10.13.77.49	172.10.0.8	61914	3389	0	0	58	54	1	1
2015-09-10 12:32:01	6	TCP	10.13.77.49	172.10.0.8	61915	3389	0	0	58	54	1	1
2015-09-10 12:32:03	6	TCP	10.13.77.49	172.10.0.8	61916	3389	0	0	58	54	1	1
2015-09-10 12:32:04	6	TCP	10.13.77.49	172.10.0.8	61917	3389	0	0	58	54	1	1
2015-09-10 12:32:06	6	TCP	172.10.0.8	10.13.77.49	3389	61918	0	0	54	58	1	1
2015-09-10 12:32:07	6	TCP	10.13.77.49	172.10.0.8	61919	3389	0	0	58	54	1	1
2015-09-10 12:32:08	6	TCP	10.13.77.49	172.10.0.8	61920	3389	0	0	58	54	1	1
2015-09-10 12:32:10	6	TCP	10.13.77.49	172.10.0.8	61921	3389	0	0	58	54	1	1
2015-09-10 12:32:11	6	TCP	10.13.77.49	172.10.0.8	61922	3389	0	0	58	54	1	1
2015-09-10 12:32:13	6	TCP	10.13.77.49	172.10.0.8	61923	3389	0	0	112	58	2	1
2015-09-10 12:32:14	6	TCP	10.13.77.49	172.10.0.8	61924	3389	0	0	58	54	1	1
2015-09-10 12:32:15	6	TCP	10.13.77.49	172.10.0.8	61925	3389	0	0	58	54	1	1
2015-09-10 12:32:17	6	TCP	10.13.77.49	172.10.0.8	61926	3389	0	0	58	54	1	1
2015-09-10 12:32:18	6	TCP	10.13.77.49	172.10.0.8	61927	3389	0	0	58	54	1	1
2015-09-10 12:32:20	6	TCP	10.13.77.49	172.10.0.8	61928	3389	0	0	58	54	1	1
2015-09-10 12:32:21	6	TCP	10.13.77.49	172.10.0.8	61929	3389	0	0	58	54	1	1
2015-09-10 12:32:22	6	TCP	10.13.77.49	172.10.0.8	61930	3389	0	0	58	54	1	1
2015-09-10 12:32:24	6	TCP	10.13.77.49	172.10.0.8	61931	3389	0	0	58	54	1	1
2015-09-10 12:32:25	6	TCP	10.13.77.49	172.10.0.8	61932	3389	0	0	58	54	1	1
2015-09-10 12:32:27	6	TCP	10.13.77.49	172.10.0.8	61933	3389	0	0	58	54	1	1
2015-09-10 12:32:28	6	TCP	10.13.77.49	172.10.0.8	61934	3389	0	0	58	54	1	1
2015-09-10 12:32:29	6	TCP	10.13.77.49	172.10.0.8	61935	3389	0	0	58	54	1	1
2015-09-10 12:32:31	6	TCP	10.13.77.49	172.10.0.8	61936	3389	0	0	58	54	1	1
2015-09-10 12:32:32	6	TCP	10.13.77.49	172.10.0.8	61937	3389	0	0	58	54	1	1
2015-09-10 12:32:34	6	TCP	10.13.77.49	172.10.0.8	61938	3389	0	0	58	54	1	1
2015-09-10 12:32:35	6	TCP	10.13.77.49	172.10.0.8	61939	3389	0	0	58	54	1	1
2015-09-10 12:32:36	6	TCP	10.13.77.49	172.10.0.8	61940	3389	0	0	58	54	1	1
2015-09-10 12:32:38	6	TCP	10.13.77.49	172.10.0.8	61941	3389	0	0	58	54	1	1
2015-09-10 12:32:39	6	TCP	10.13.77.49	172.10.0.8	61942	3389	0	0	58	54	1	1
2015-09-10 12:32:41	6	TCP	10.13.77.49	172.10.0.8	61943	3389	0	0	58	54	1	1
2015-09-10 12:32:42	6	TCP	10.13.77.49	172.10.0.8	61944	3389	0	0	112	58	2	1
2015-09-10 12:32:43	6	TCP	10.13.77.49	172.10.0.8	61945	3389	0	0	58	54	1	1
2015-09-10 12:32:45	6	TCP	10.13.77.49	172.10.0.8	61946	3389	0	0	58	54	1	1
2015-09-10 12:32:46	6	TCP	10.13.77.49	172.10.0.8	61947	3389	0	0	58	54	1	1
2015-09-10 12:32:48	6	TCP	10.13.77.49	172.10.0.8	61948	3389	0	0	58	54	1	1
2015-09-10 12:32:49	6	TCP	10.13.77.49	172.10.0.8	61949	3389	0	0	58	54	1	1
2015-09-10 12:32:50	6	TCP	10.13.77.49	172.10.0.8	61950	3389	0	0	58	54	1	1
2015-09-10 12:32:52	6	TCP	10.13.77.49	172.10.0.8	61951	3389	0	0	58	54	1	1
2015-09-10 12:32:53	6	TCP	10.13.77.49	172.10.0.8	61952	3389	0	0	58	54	1	1
2015-09-10 12:32:55	6	TCP	10.13.77.49	172.10.0.8	61953	3389	0	0	58	54	1	1
2015-09-10 12:32:56	6	TCP	10.13.77.49	172.10.0.8	61954	3389	0	0	58	54	1	1
2015-09-10 12:32:57	6	TCP	10.13.77.49	172.10.0.8	61955	3389	0	0	58	54	1	1
2015-09-10 12:32:59	6	TCP	10.13.77.49	172.10.0.8	61956	3389	0	0	58	54	1	1
