firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.17.15.10	172.10.0.9	155	1401	130839	70461
10.17.15.10	172.10.0.2	0	0	694308	32956
10.17.15.10	172.10.0.3	155	1412	126602	72654
10.17.15.10	172.10.0.40	11	11	28193	25651
10.17.15.10	172.20.0.15	38	2012	302172493	633278469
10.17.15.10	172.20.0.6	155	1401	129943	70009
172.20.0.15	10.17.15.10	1006	19	1575016	357366
10.17.15.10	172.10.0.5	155	1401	130503	70287
10.17.15.10	172.10.0.7	155	1401	130727	70403
10.17.15.10	172.10.0.8	155	1401	130727	70403
172.10.0.9	10.17.15.10	0	0	58	112
