firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.12.15.152	172.10.0.3	155	1412	291326	172477
10.13.77.49	172.10.0.3	1299	1412	1334840	1758812
172.10.0.3	10.43.51.79	577	1299	1179	1901
172.10.0.3	10.3.1.25	751747	8541	1480032675	137516949
10.17.15.10	172.10.0.3	155	1412	126602	72654
10.6.6.7	172.10.0.3	0	0	133280	69078
172.10.0.3	10.13.77.49	44	0	1520	1080
10.43.51.79	172.10.0.3	1299	671	2556274	1520228
172.10.0.3	172.0.0.1	96	96	23786	23786
10.3.1.25	172.10.0.3	517	38086	12019	91793
172.10.0.3	224.0.0.252	84	0	7956	0
10.138.235.111	172.10.0.3	155	1412	122458	70565
