parseddate	pcode	pcode	srcip	dstip	sport	dport	sfirst	dfirst	stotal	dtotal	spkts	dpkts
2015-09-14 17:53:00	6	TCP	10.138.235.111	172.30.0.2	40568	3389	0	0	112	58	2	1
2015-09-14 17:53:24	6	TCP	10.138.235.111	172.30.0.2	57362	3389	0	0	124	0	2	0
2015-09-14 17:53:35	6	TCP	10.138.235.111	172.30.0.2	40571	3389	0	0	206	0	3	0
2015-09-14 17:53:35	6	TCP	10.138.235.111	172.30.0.2	40569	3389	0	0	260	58	4	1
2015-09-14 17:53:35	6	TCP	10.138.235.111	172.30.0.2	40570	3389	0	0	206	0	3	0
2015-09-14 17:53:35	6	TCP	10.138.235.111	172.30.0.2	40572	3389	0	0	198	0	3	0
2015-09-14 17:53:36	1	OTHER	10.138.235.111	172.30.0.2	0	0	0	0	708	708	4	4
2015-09-14 17:53:36	6	TCP	10.138.235.111	172.30.0.2	40573	3389	0	0	206	0	3	0
2015-09-14 17:53:36	6	TCP	10.138.235.111	172.30.0.2	40574	3389	0	0	198	0	3	0
2015-09-14 17:53:37	6	TCP	10.138.235.111	172.30.0.2	40576	3389	0	0	650	0	9	0
2015-09-14 17:53:37	6	TCP	10.138.235.111	172.30.0.2	40575	3389	0	0	354	0	5	0
2015-09-14 17:53:37	6	TCP	10.138.235.111	172.30.0.2	40578	3389	0	0	618	0	9	0
2015-09-14 17:53:37	6	TCP	10.138.235.111	172.30.0.2	40577	3389	0	0	650	0	9	0
2015-09-14 17:53:38	6	TCP	10.138.235.111	172.30.0.2	40580	3389	0	0	618	0	9	0
2015-09-14 17:53:38	6	TCP	10.138.235.111	172.30.0.2	40579	3389	0	0	650	0	9	0
2015-09-14 17:53:38	6	TCP	10.138.235.111	172.30.0.2	40582	3389	0	0	354	0	5	0
2015-09-14 17:53:38	6	TCP	10.138.235.111	172.30.0.2	40581	3389	0	0	586	0	9	0
