firstseen	srcip	dstip	sport	dport	pkts	bytes
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	58513	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	7740	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	54923	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	46183	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	30608	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	17046	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	49412	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	27451	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	55947	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	62807	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	29625	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	3138	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	17636	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	55918	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	29593	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	35217	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	22519	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	9885	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	51788	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	20582	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	11509	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	60794	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	53374	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	49769	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	48069	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	13494	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	57879	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	49287	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	21348	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	29763	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	33811	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	26890	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	27565	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	49591	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	60860	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	35708	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	3293	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	30422	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	3443	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	62072	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	62290	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	30815	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	43253	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	2539	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	8804	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	2751	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	8400	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	20692	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	21095	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	1188	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	45138	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	59450	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	11551	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	63971	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	30750	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	44000	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51359	20720	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	17277	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	11540	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	47642	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	28429	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	54003	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	8977	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	13431	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51358	33595	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51358	50178	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.2	51359	47734	0	0
2013-04-06 11:19:46	10.9.81.5	172.30.0.3	51357	33595	0	0
