firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
172.10.2.67	10.0.0.6	318	3009218	533080	9452424
172.20.1.41	10.0.0.6	366	3006258	318188	6488256
10.0.0.6	172.10.2.66	432	175	872	391
10.0.0.6	172.30.2.45	2603930	0	6249350	141268
172.20.1.81	10.0.0.6	366	3066214	53806813	2692205122
10.0.0.6	172.10.2.67	721164	0	749460	18270
172.10.1.20	10.0.0.6	350	399496	397103	2183084
10.0.0.6	172.20.1.81	432	175	1396	782
172.10.2.106	10.0.0.6	366	3070678	57157541	2836053778
172.10.2.66	10.0.0.6	453	3045514	55808259	2796639155
10.0.0.6	172.10.1.20	408	175	1364	499
10.0.0.6	172.10.2.106	2979626	151	3098448	64952
10.0.0.6	172.20.1.41	408	175	632	391
172.30.2.45	10.0.0.6	366	3034826	1645451	70685341
