firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.138.235.111	172.10.0.4	155	7129	121646	86959
172.10.0.4	10.12.14.15	1006	19	1748441	324236
10.13.77.49	172.10.0.4	192	149671	7900724	206185554
10.12.14.15	172.10.0.4	57	2515	147726782	315139604
172.10.0.4	10.247.58.182	1509	38	4073979	772851
10.78.100.150	172.10.0.4	57	3018	309838901	657948066
172.10.0.4	10.38.217.48	1006	38	3471456	698319
10.6.6.7	172.10.0.4	133	4024	269085174	573531584
172.10.0.4	10.78.100.150	1006	19	3529562	641215
10.247.58.182	172.10.0.4	57	3018	328483915	696596608
10.38.217.48	172.10.0.4	57	2515	307868162	653510200
172.10.0.4	10.6.6.7	2515	95	17862519	7331859
172.10.0.4	10.13.77.49	503	19	23498	5468
