parseddate	pcode	pcode	srcip	dstip	sport	dport	sfirst	dfirst	stotal	dtotal	spkts	dpkts
2015-09-11 12:08:02	6	TCP	10.247.106.27	172.20.0.4	17099	80	19	1509	243	1733	4	4
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16879	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17059	80	0	0	170	62	3	1
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16748	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17018	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17006	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17005	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17058	80	19	503	297	681	5	3
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16750	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16723	80	19	503	243	619	4	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17070	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16621	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16618	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16770	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16706	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16704	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17111	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17067	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17039	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	17113	80	19	503	297	619	5	2
2015-09-11 12:08:03	6	TCP	10.247.106.27	172.20.0.4	16700	80	19	503	297	619	5	2
