firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.138.235.111	172.10.0.4	155	7129	121646	86959
172.30.0.4	10.138.235.111	1006	38	1415169	436731
172.10.0.9	10.138.235.111	0	0	58	112
10.138.235.111	172.30.0.2	0	0	720884	49832
10.138.235.111	172.30.0.3	155	1412	138564	85676
10.138.235.111	172.10.0.9	155	1401	127142	68782
10.138.235.111	172.20.0.2	0	0	2097828	98536
10.138.235.111	172.30.0.4	155	4480	272278264	569284068
10.138.235.111	172.20.0.3	155	1412	236313	143358
10.138.235.111	172.30.0.5	155	1424	130291	78587
10.138.235.111	172.10.0.2	0	0	704786	34464
10.138.235.111	172.30.0.6	155	1424	130013	78467
10.138.235.111	172.10.0.3	155	1412	122458	70565
10.138.235.111	172.10.0.40	11	11	19493	17551
10.138.235.111	172.20.0.5	155	1401	214078	132622
10.138.235.111	172.30.0.7	155	1424	130573	78757
