firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.0.3.77	172.20.0.3	1299	825	2556570	1519698
10.62.15.101	172.20.0.3	1299	873	2564838	1524582
10.6.6.7	172.20.0.3	155	1412	193193	107328
10.76.193.186	172.20.0.3	1299	977	3628939	3030111
172.20.0.3	169.254.192.72	150	0	342	0
172.20.0.3	10.3.1.25	662434	7479	295892100	35413132
172.20.0.3	10.76.193.186	352	0	2010	810
10.3.1.25	172.20.0.3	163	5264	7966	58899
172.20.0.3	10.170.148.52	44	0	608	432
172.20.0.3	10.6.6.7	0	0	58	54
172.20.0.3	10.13.77.49	44	0	912	648
10.138.235.111	172.20.0.3	155	1412	236313	143358
10.170.148.52	172.20.0.3	1299	998	3625223	3026552
172.20.0.3	10.0.3.77	0	0	54	54
172.20.0.3	224.0.0.252	48	0	8148	0
10.12.15.152	172.20.0.3	155	1412	70483	43586
10.13.77.49	172.20.0.3	1299	1412	1396890	1706763
10.12.14.15	172.20.0.3	155	1412	67683	42023
