firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.13.77.49	172.10.0.3	1299	1412	1334840	1758812
10.13.77.49	172.20.0.5	155	1401	213046	173904
172.20.0.4	10.13.77.49	0	0	112	112
10.13.77.49	172.10.0.4	192	149671	7900724	206185554
10.13.77.49	172.20.0.6	170	1401	513067	481415
10.13.77.49	172.10.0.5	192	4697	2661822	7470638
172.10.0.5	10.13.77.49	0	0	324	0
10.13.77.49	172.10.0.7	170	1401	496611	460203
10.13.77.49	172.30.0.4	1416	60720	276350389	737116433
172.10.0.3	10.13.77.49	44	0	1520	1080
172.20.0.15	10.13.77.49	0	0	108	0
10.13.77.49	172.10.0.8	170	1401	509607	474831
172.20.0.3	10.13.77.49	44	0	912	648
10.13.77.49	172.10.0.9	170	1401	501797	465653
10.13.77.49	172.20.0.2	0	0	333640	16554
172.10.0.8	10.13.77.49	0	0	54	58
10.13.77.49	172.10.0.40	11	11	111197	101689
10.13.77.49	172.20.0.3	1299	1412	1396890	1706763
10.13.77.49	172.10.0.2	0	0	1401468	65122
10.13.77.49	172.20.0.15	384	190719	7507911	263194104
10.13.77.49	172.20.0.4	1920	1482910	32653060	1159820591
172.10.0.4	10.13.77.49	503	19	23498	5468
172.30.0.4	10.13.77.49	17633	197	1656783	467704
