parseddate	pcode	pcode	srcip	dstip	sport	dport	sfirst	dfirst	stotal	dtotal	spkts	dpkts
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.2	51628	3389	0	0	148	0	2	0
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.2	51626	3389	0	0	148	0	2	0
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.2	51629	3389	0	0	140	0	2	0
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.2	51625	3389	0	0	148	0	2	0
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.2	51627	3389	0	0	140	0	2	0
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.2	51624	3389	0	0	202	74	3	1
2015-09-12 15:34:07	1	OTHER	10.12.14.15	172.20.0.2	0	0	0	0	708	708	4	4
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51636	3389	0	0	528	0	8	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51634	3389	0	0	592	0	8	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51633	3389	0	0	560	0	8	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51632	3389	0	0	592	0	8	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51635	3389	0	0	560	0	8	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51637	3389	0	0	296	0	4	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51630	3389	0	0	296	0	4	0
2015-09-12 15:34:08	6	TCP	10.12.14.15	172.20.0.2	51631	3389	0	0	592	0	8	0
