firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.6.6.7	172.30.0.3	155	1412	211472	123484
10.6.6.7	172.20.0.2	0	0	586	354
10.6.6.7	172.20.0.3	155	1412	193193	107328
10.6.6.7	172.20.0.15	156	7130	165204297	348426181
10.6.6.7	172.20.0.4	155	7129	190013	122158
10.6.6.7	172.10.0.3	0	0	133280	69078
10.6.6.7	172.20.0.5	155	1401	785050	62878
10.6.6.7	172.30.0.7	155	1424	177656	117310
172.20.0.3	10.6.6.7	0	0	58	54
10.6.6.7	172.10.0.4	133	4024	269085174	573531584
172.20.0.15	10.6.6.7	1006	19	1547728	94391
172.10.0.4	10.6.6.7	2515	95	17862519	7331859
10.6.6.7	172.30.0.2	11	11	1378195	59769
172.20.0.4	10.6.6.7	0	0	58	54
