firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.12.14.15	172.20.0.4	155	7129	226506060	483998575
172.20.0.4	10.13.77.49	0	0	112	112
172.20.0.4	10.170.32.181	1006	38	1779867	483142
10.247.106.27	172.20.0.4	1920	1482910	395094792	2039771116
10.78.100.150	172.20.0.4	1920	1482910	33522517	1193097954
172.20.0.4	10.12.14.15	1006	19	2422090	125815
10.170.32.181	172.20.0.4	1920	1482910	401502439	1727662008
10.170.32.110	172.20.0.4	1920	1482910	221729136	1467632778
10.6.6.7	172.20.0.4	155	7129	190013	122158
10.156.165.120	172.20.0.4	1920	1482910	34634762	1235596578
172.20.0.4	10.10.11.102	1006	19	4489133	612383
10.10.11.102	172.20.0.4	38	4024	584664634	1234231242
172.20.0.4	10.170.32.110	1509	57	1103860	330910
10.13.77.49	172.20.0.4	1920	1482910	32653060	1159820591
172.20.0.4	10.247.106.27	1006	38	1528294	410328
172.20.0.4	10.6.6.7	0	0	58	54
